sound,target,confused,count,sound_file,target_file,talker,voice_base,condition
theta,p,0,35,T10_theta3.wav,T10_p3.wav,T10,us3,confusable
theta,p,0,35,T11_theta3.wav,T11_p3.wav,T11,us3,confusable
theta,p,0,35,T12_theta3.wav,T12_p3.wav,T12,us3,confusable
theta,d,1,4,T01_theta3.wav,T01_d3.wav,T01,us1,distinct
theta,d,1,4,T02_theta3.wav,T02_d3.wav,T02,us1,distinct
theta,d,1,4,T03_theta3.wav,T03_d3.wav,T03,us1,distinct
theta,d,1,4,T04_theta3.wav,T04_d3.wav,T04,us1,distinct
theta,d,1,4,T05_theta3.wav,T05_d3.wav,T05,us1,distinct
theta,d,1,4,T06_theta3.wav,T06_d3.wav,T06,us1,distinct
theta,d,1,4,T07_theta3.wav,T07_d3.wav,T07,us2,distinct
theta,d,1,4,T08_theta3.wav,T08_d3.wav,T08,us2,distinct
theta,d,1,4,T09_theta3.wav,T09_d3.wav,T09,us2,distinct
theta,d,1,4,T10_theta3.wav,T10_d3.wav,T10,us3,distinct
theta,d,1,4,T11_theta3.wav,T11_d3.wav,T11,us3,distinct
theta,d,1,4,T12_theta3.wav,T12_d3.wav,T12,us3,distinct
theta,m,1,1,T01_theta3.wav,T01_m3.wav,T01,us1,distinct
theta,m,1,1,T02_theta3.wav,T02_m3.wav,T02,us1,distinct
theta,m,1,1,T03_theta3.wav,T03_m3.wav,T03,us1,distinct
theta,m,1,1,T04_theta3.wav,T04_m3.wav,T04,us1,distinct
theta,m,1,1,T05_theta3.wav,T05_m3.wav,T05,us1,distinct
theta,m,1,1,T06_theta3.wav,T06_m3.wav,T06,us1,distinct
theta,m,1,1,T07_theta3.wav,T07_m3.wav,T07,us2,distinct
theta,m,1,1,T08_theta3.wav,T08_m3.wav,T08,us2,distinct
theta,m,1,1,T09_theta3.wav,T09_m3.wav,T09,us2,distinct
theta,m,1,1,T10_theta3.wav,T10_m3.wav,T10,us3,distinct
theta,m,1,1,T11_theta3.wav,T11_m3.wav,T11,us3,distinct
theta,m,1,1,T12_theta3.wav,T12_m3.wav,T12,us3,distinct
theta,n,1,1,T01_theta3.wav,T01_n3.wav,T01,us1,distinct
theta,n,1,1,T02_theta3.wav,T02_n3.wav,T02,us1,distinct
theta,n,1,1,T03_theta3.wav,T03_n3.wav,T03,us1,distinct
theta,n,1,1,T04_theta3.wav,T04_n3.wav,T04,us1,distinct
theta,n,1,1,T05_theta3.wav,T05_n3.wav,T05,us1,distinct
theta,n,1,1,T06_theta3.wav,T06_n3.wav,T06,us1,distinct
theta,n,1,1,T07_theta3.wav,T07_n3.wav,T07,us2,distinct
theta,n,1,1,T08_theta3.wav,T08_n3.wav,T08,us2,distinct
theta,n,1,1,T09_theta3.wav,T09_n3.wav,T09,us2,distinct
theta,n,1,1,T10_theta3.wav,T10_n3.wav,T10,us3,distinct
theta,n,1,1,T11_theta3.wav,T11_n3.wav,T11,us3,distinct
theta,n,1,1,T12_theta3.wav,T12_n3.wav,T12,us3,distinct
s,theta,0,84,T01_s3.wav,T01_theta3.wav,T01,us1,confusable
s,theta,0,84,T02_s3.wav,T02_theta3.wav,T02,us1,confusable
s,theta,0,84,T03_s3.wav,T03_theta3.wav,T03,us1,confusable
s,theta,0,84,T04_s3.wav,T04_theta3.wav,T04,us1,confusable
s,theta,0,84,T05_s3.wav,T05_theta3.wav,T05,us1,confusable
s,theta,0,84,T06_s3.wav,T06_theta3.wav,T06,us1,confusable
s,theta,0,84,T07_s3.wav,T07_theta3.wav,T07,us2,confusable
s,theta,0,84,T08_s3.wav,T08_theta3.wav,T08,us2,confusable
s,theta,0,84,T09_s3.wav,T09_theta3.wav,T09,us2,confusable
s,theta,0,84,T10_s3.wav,T10_theta3.wav,T10,us3,confusable
s,theta,0,84,T11_s3.wav,T11_theta3.wav,T11,us3,confusable
s,theta,0,84,T12_s3.wav,T12_theta3.wav,T12,us3,confusable
s,sh,0,57,T01_s3.wav,T01_sh3.wav,T01,us1,confusable
s,sh,0,57,T02_s3.wav,T02_sh3.wav,T02,us1,confusable
